node,weight
Wrapped Ether,0.21214908522567286
Wrapped liquid staked Ether 2.0,0.14230704360753146
Wrapped BTC,0.1261858877970356
USD Coin,0.09653249168197679
Dai Stablecoin,0.005443165012040363
ChainLink Token,0.011489610646228108
Aave Token,0.011992616336040787
Coinbase Wrapped Staked ETH,0.0007725150255989614
Tether USD,0.11390143279008579
Rocket Pool ETH,0.0056610570850957435
LUSD Stablecoin,0.00013491126404303614
Curve DAO Token,0.0003380247499852839
Maker,0.0010477100492314697
Synthetix Network Token,4.4412466456609654e-05
Balancer,0.00064656170023548
Uniswap,0.00257509400346942
Lido DAO Token,8.957020559391274e-05
Ethereum Name Service,0.00025099977599667226
1INCH Token,3.1539990006764485e-05
Frax,1.4134817934716396e-05
Gho Token,0.0
Rocket Pool Protocol,0.00025158839446626555
Savings Dai,0.00011896925944317318
StargateToken,6.08283235330095e-09
Kyber Network Crystal v2,1.6615416604002464e-06
Frax Share,4.100170608286879e-07
Curve.Fi USD Stablecoin,3.1114314051726655e-05
PayPal USD,0.0004405986238292348
Wrapped eETH,0.15080708689514477
Staked ETH,0.0034620776321928884
USDe,0.0010715686268781065
ETHx,0.0013348935313046914
Staked USDe,0.029366961915093567
tBTC v2,0.004268056014179686
Coinbase Wrapped BTC,0.016765750975974835
USDS Stablecoin,0.009571181900989599
rsETH,0.04790002693856432
Lombard Staked Bitcoin,0.00300018310607372
0x000000000000000000000000000000000000dEaD,0.0
0x0000000000bbF5c5Fd284e657F01Bd000933C96D,0.0
0x0000000087bf5615B053Dcabf78c93aa4e5B9c76,0.0
0x00000000b083504037aa01c2d7297F6d459d5Fc3,0.0
0x00000015E180b01c40b881e10774Bc784bB6F4Eb,0.0
0x000000B9054e79892A1097f4E02e7AA42de22c0C,0.0
0x00000688768803Bbd44095770895ad27ad6b0d95,0.0
0x00003FcAC5ecEDCa580CE31F57e92822d9f74747,0.0
0x00006da0E72b377E4be66cFB4522CE0786fc0000,0.0
0x00009F8dff93888a98030C95f87b2a6ed6db0000,0.0
0x0000CB5b014044b6BcA44F386c86592911D90000,0.0
0x0000aC6Fcf8c237eb2596C91F893B1Fa39A30000,0.0
0x0000f0D34d51D23B0dd75A6b720c7F4f10430000,0.0
0x000250150f8Fc5030700090ac5F9006Fa3a40134,0.0
0x0002BAa2408311a9f23BAac9ec62c8857F4b3f88,0.0
0x000566C635E030893301ACCfaf2c97a2Abd492eB,0.0
0x000B2D85dcCFf3DB1c5aaAD2ef9698fCE95F4dB9,0.0
0x000Fe38f07584839bD8F437c20B4cD0D7dE5E983,0.0
0x000c67a69c247A0397c49FFf453C5f2a8E1F2992,0.0
0x000e340b4640316D90D611cf0FB9EdA6Ba93C087,0.0
0x001076a29493CF2ACE3474Bfe308688effAf12Cb,0.0
0x001099E93DB8D9401B11685fE341cc5E19FDF8FE,0.0
0x00159370Cbe576b765a7fb2E78582E0cB563d445,0.0
0x00166e72CCcb2aA2981DbbE4Cc17D467Dc10e7F0,0.0
0x00171Ab2F44c1C9b21C7696Eb1A5C601f05A9167,0.0
0x0018EA4baB28d0737A77164D2331790C49cE0734,0.0
0x001Cc5C3B9c8591b7c306A7494E16DCDC7ee1BeA,0.0
0x001be549fa377710B9e59d57bbdf593CE1e379ca,0.0
0x001fF1c258209a6E33eaf850da4F9080386c0C3b,0.0
0x0020586B6E2A9A4E159d9f6003C6E10E6Ed05066,0.0
0x002183113F3Fedc5B494080954E5E8FAeB070Fd3,0.0
0x00227dD82fAe1220bDAC630297753BB2cB4e8dDd,0.0
0x00236feEAC26ef92552e3981096350D136084C64,0.0
0x00257CD46a4Ec5823B972eDFeeD1Fb7d956b34C5,0.0
0x0026C6B07d0F2B3a0b5525123E69686211202db9,0.0
0x0029Ab135b5Be72168BF80F140D60a9264dbD0C5,0.0
0x002C0910740839f5A929896F545b1526665DAb09,0.0
0x002aE0Cf6f65e80a260278d3caF125c3242cdB65,0.0
0x002baB9f20113702e1A10d7c25BC72B3547d6D73,0.0
0x0030AC679f686913fE5f655617119fBf19D87982,0.0
0x003626Ab1a6Ae0f0C4f5967a7f4f5eea3aA225aC,0.0
0x003a85c562730B196f7CBa202a2515f2fF855736,0.0
0x003aab6FbF1cEdDE9441350b70f7db586aE1BbB9,0.0
0x003ab9F9e0C7D9b2DE66296046eaE46f49c24349,0.0
0x003eB864477C8858BEC0916E23785AcA46f6ba34,0.0
0x0040a6a1A835A6265201A178a939b5B1749CD9cA,0.0
0x0044a4CE319b7C5fe9c27968513Ff9D53Bd3c9f8,0.0
0x0045f12e361280D855809F82E06Fa47cBfc94Ba5,0.0
0x0049665F987361e8F2BEe667acF9CEA278163425,0.0
0x0049C5aC0Da13B3E4640338c0b71B90Cf03Ae0C4,0.0
0x004AFB002e3FB33C833FC16b6b63103bbf97312d,0.0
0x004Bf1A3965eDEA59672E289D31a36aE7c5438A1,0.0
0x004D57F1d1d0fC2E23ab773Db0e390585718092c,0.0
