target,source,amount
0xEAc4078C050074Dc668117385aC014960E1e0Bcf,USD Coin,129.98319769667904
0xB8465f2ab8e1C416a1cA54DDd3207346f0D77Fab,Wrapped Ether,80.28279619278622
0x8488EE7fB17a139E37100533e058C1f0b01d6252,Wrapped Ether,36.214283375287664
0x537d55F765Aa1632B3d6F26CEb5f9c63925F86Ed,Wrapped Ether,2.0467196941716397
0x1562e5a92cAB6797738ED9953429f29d4978C9F6,Dai Stablecoin,4.994327203833086
0x310a2c115d3d45a89b59640FfF859BE0f54a08E2,Wrapped Ether,1018990.2872197091
0x3451811f5cf521fAEF914B58cc69Ece41CD61Ca7,USD Coin,4994.728493
0xC2F72E41B5c8336AbE0cb4634b0dC790D7AdE0d8,USD Coin,998.923924
0xf2DDa5c53898e55A474cBbBC3ea22283C678Aa57,Dai Stablecoin,1198.1508063486294
0xDac752245d44f396630C84394E5dB9B5dE6614dD,USD Coin,19.975787
0xe3B1363aABA6449F289903885a3c36370e74c98D,Wrapped Ether,30.640473902891245
0x5d89287D089888b8d69F78395C3FeB8406818fFa,Wrapped Ether,73628.66280496452
0x2d3094DAeCBD95B95C182DBB60f4085457A37037,Tether USD,198.10114632
0x4C2248d611E0297649444797b022f18D3F087205,Tether USD,10.0019111648
0xdF5b67d6613A2260e8f7ADD8e793C3dF919D156F,Wrapped Ether,111.36870212847415
0x2FF0c31FD9eE78E8A19AFEC3b20D323fED1EC69a,Tether USD,190.0345194144
0x91E6B4e8387286D417E4e37ACe9753a678BC9982,Tether USD,45.99856414583859
0x991725944b4050bBF465574b8e28ae389973CB42,Wrapped Ether,3.0769345346755226
0xeDD19bB3885252f9C0768DC04f3e90F6fE378BcC,USD Coin,7987.16329953908
0xc57c8C85D595f20afaD36b7fA20cFAaE63F26385,Tether USD,1099.436789076416
0x760b164849D065282Bd7bDf7B344C082076ae8D2,USD Coin,5588.83021706598
0x25B33A67D256303Ad444BA4590332bFFb5a188d9,Dai Stablecoin,399.04253551290344
0xb7bB658298A51F8AEd39Af93f4aaA0eF5e003da5,USD Coin,4490.031733160219
0x25Fc6d5B96663414B3FBAe8A36d53ea59fB67418,Wrapped Ether,8253.909705975579
0x6C293dC5D45fdE0162d70aE3Cf5c5e21e814552b,USD Coin,26.6433339141522
0x80927AD841a9B64a0957a23D7b55ecec1E5EE20D,Wrapped Ether,10557.108343086167
0x64c8d81720e2ED229AB31F08cf03acd827685904,USD Coin,49.880143383029996
0x49609096c7cC6D9ec09529559c6Ed2E1D4DE04be,Wrapped BTC,5769.665905925574
0x38906e2250c46209Eb0840fD92caB8f52145Ee41,Wrapped Ether,289605.42880004144
